Player,Position,Height (in),Weight (lbs),Date of Birth,League,GP,G,A,TP,Season,,First,Last,Name+1,Name+2,Input Array
Philippe Daoust,F,73,195,11/05/2001,ECHL,5,3,2,5,2023,,Philippe,Daoust,,,"[""Philippe"",""Daoust"",""F"",""ECHL"",None,73,195,22.86,5,3,5,1,2024]"
Lucas Mercuri,F,75,191,03/07/2002,NCAA,37,9,16,25,2023,,Lucas,Mercuri,,,"[""Lucas"",""Mercuri"",""F"",""NCAA"",None,75,191,22.52,37,9,25,0.68,2024]"
Tyrel Bauer,D,75,207,03/23/2002,AHL,56,2,5,7,2023,,Tyrel,Bauer,,,"[""Tyrel"",""Bauer"",""D"",""AHL"",None,75,207,22.48,56,2,7,0.13,2024]"
Matt Rempe,F,81,255,06/29/2002,AHL,43,8,4,12,2023,,Matt,Rempe,,,"[""Matt"",""Rempe"",""F"",""AHL"",None,81,255,22.21,43,8,12,0.28,2024]"
Luke Reid,D,73,200,09/26/2001,NCAA,36,1,15,16,2023,,Luke,Reid,,,"[""Luke"",""Reid"",""D"",""NCAA"",None,73,200,22.97,36,1,16,0.44,2024]"
Veeti Miettinen,F,69,161,09/20/2001,NCAA,37,20,15,35,2023,,Veeti,Miettinen,,,"[""Veeti"",""Miettinen"",""F"",""NCAA"",None,69,161,22.99,37,20,35,0.95,2024]"
Chase Yoder,F,70,176,05/28/2002,NCAA,35,11,9,20,2023,,Chase,Yoder,,,"[""Chase"",""Yoder"",""F"",""NCAA"",None,70,176,22.3,35,11,20,0.57,2024]"
Alexander Gordin,F,73,194,07/31/2001,VHL,53,18,22,40,2023,,Alexander,Gordin,,,"[""Alexander"",""Gordin"",""F"",""VHL"",None,73,194,23.13,53,18,40,0.75,2024]"
Rory Kerins,F,70,175,04/12/2002,AHL,54,16,16,32,2023,,Rory,Kerins,,,"[""Rory"",""Kerins"",""F"",""AHL"",None,70,175,22.43,54,16,32,0.59,2024]"
Samuel Johannesson,D,71,176,12/27/2000,SHL,43,11,16,27,2023,,Samuel,Johannesson,,,"[""Samuel"",""Johannesson"",""D"",""SHL"",None,71,176,23.72,43,11,27,0.63,2024]"
Joe Miller,F,68,147,09/15/2002,NCAA,32,13,14,27,2023,,Joe,Miller,,,"[""Joe"",""Miller"",""F"",""NCAA"",None,68,147,22,32,13,27,0.84,2024]"
Cole Reinhardt,F,73,207,02/01/2000,AHL,56,8,15,23,2023,,Cole,Reinhardt,,,"[""Cole"",""Reinhardt"",""F"",""AHL"",None,73,207,24.62,56,8,23,0.41,2024]"
Riley Duran,F,73,174,01/25/2002,NCAA,35,9,7,16,2023,,Riley,Duran,,,"[""Riley"",""Duran"",""F"",""NCAA"",None,73,174,22.64,35,9,16,0.46,2024]"
Noah Ellis,D,74,191,02/01/2002,NCAA,21,0,3,3,2023,,Noah,Ellis,,,"[""Noah"",""Ellis"",""D"",""NCAA"",None,74,191,22.62,21,0,3,0.14,2024]"
Kienan Draper,F,72,187,02/19/2002,NCAA,37,4,8,12,2023,,Kienan,Draper,,,"[""Kienan"",""Draper"",""F"",""NCAA"",None,72,187,22.57,37,4,12,0.32,2024]"
Louis Crevier,D,80,228,05/04/2001,AHL,41,3,8,11,2023,,Louis,Crevier,,,"[""Louis"",""Crevier"",""D"",""AHL"",None,80,228,23.36,41,3,11,0.27,2024]"
John Fusco,D,69,174,06/13/2001,NCAA,32,7,10,17,2023,,John,Fusco,,,"[""John"",""Fusco"",""D"",""NCAA"",None,69,174,23.26,32,7,17,0.53,2024]"
Aatu Jamsen,F,73,154,07/22/2002,Liiga,36,14,11,25,2023,,Aatu,Jamsen,,,"[""Aatu"",""Jamsen"",""F"",""Liiga"",None,73,154,22.15,36,14,25,0.69,2024]"
Wyatt Schingoethe,F,70,200,08/03/2002,NCAA,24,0,4,4,2023,,Wyatt,Schingoethe,,,"[""Wyatt"",""Schingoethe"",""F"",""NCAA"",None,70,200,22.12,24,0,4,0.17,2024]"
Alex Young,F,71,170,03/22/2001,NCAA,37,6,3,9,2023,,Alex,Young,,,"[""Alex"",""Young"",""F"",""NCAA"",None,71,170,23.48,37,6,9,0.24,2024]"
Adam Raska,F,70,178,09/25/2001,AHL,49,3,4,7,2023,,Adam,Raska,,,"[""Adam"",""Raska"",""F"",""AHL"",None,70,178,22.97,49,3,7,0.14,2024]"
Chase Bradley,F,71,180,01/09/2002,NCAA,31,11,11,22,2023,,Chase,Bradley,,,"[""Chase"",""Bradley"",""F"",""NCAA"",None,71,180,22.68,31,11,22,0.71,2024]"
Ben McCartney,F,72,182,07/13/2001,AHL,46,6,16,22,2023,,Ben,McCartney,,,"[""Ben"",""McCartney"",""F"",""AHL"",None,72,182,23.17,46,6,22,0.48,2024]"
Ilya Solovyov,D,75,208,07/20/2000,AHL,51,5,10,15,2023,,Ilya,Solovyov,,,"[""Ilya"",""Solovyov"",""D"",""AHL"",None,75,208,24.15,51,5,15,0.29,2024]"
Ronan Seeley,D,72,197,08/02/2002,AHL,58,2,12,14,2023,,Ronan,Seeley,,,"[""Ronan"",""Seeley"",""D"",""AHL"",None,72,197,22.12,58,2,14,0.24,2024]"
Chase McLane,F,74,203,04/22/2000,NCAA,17,3,3,6,2023,,Chase,McLane,,,"[""Chase"",""McLane"",""F"",""NCAA"",None,74,203,24.4,17,3,6,0.35,2024]"
Timofey Spitserov,F,71,174,03/26/2002,NCAA,35,7,7,14,2023,,Timofey,Spitserov,,,"[""Timofey"",""Spitserov"",""F"",""NCAA"",None,71,174,22.47,35,7,14,0.4,2024]"
Ryan Tverberg,F,71,187,01/30/2002,AHL,46,9,23,32,2023,,Ryan,Tverberg,,,"[""Ryan"",""Tverberg"",""F"",""AHL"",None,71,187,22.63,46,9,32,0.7,2024]"
